"","id","itemTime","trialnumber","value","access","observation","answer1","answer2","RT","answer3","answer.full","uncertainty"
"1","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171479347,1,107,10,7,"is_certainly","probable",18214,"likely","is_certainly likely","none"
"2","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171487254,2,41,4,1,"might_be","possible",7905,"possible","might_be possible","high"
"3","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171502803,3,42,4,2,"is_certainly","possible",15547,"possible","is_certainly possible","high"
"4","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171511317,4,108,10,8,"is","likely",8508,"likely","is likely","none"
"5","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171520312,5,84,8,4,"is","possible",8993,"possible","is possible","low"
"6","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171529369,6,105,10,5,"is_certainly","likely",9055,"likely","is_certainly likely","none"
"7","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171535521,7,102,10,2,"is","unlikely",6150,"unlikely","is unlikely","none"
"8","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171543632,8,80,8,0,"is","unlikely",8109,"unlikely","is unlikely","low"
"9","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171550110,9,43,4,3,"is_probably","likely",6477,"likely","is_probably likely","high"
"10","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171566375,10,103,10,3,"might_be","possible",16262,"possible","might_be possible","none"
"11","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171572276,11,86,8,6,"is","likely",5896,"likely","is likely","low"
"12","A110KENBXU7SUJ:388U7OUMF89U34S54DVMN1YX8NF0R4",1456171577713,12,82,8,2,"might_be","possible",5435,"possible","might_be possible","low"
"13","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178885616,1,86,8,6,"is_probably","probable",18169,"likely","is_probably likely","low"
"14","A115UFR6VA6OM1:3FIUS151DWA0PIUC24QD9P76DVTGGR",1456178893945,2,84,8,4,"might_be","possible",8327,"possible","might_be possible","low"
